Date,Match,Result,Score,Competition
11 Oct 2020,Republic of Ireland v Wales,D,"
0-0
",UEFA Nations League
14 Oct 2020,Bulgaria v Wales,W,"
0-1
",UEFA Nations League
12 Nov 2020,Wales v USA,D,"
0-0
",International Friendly
15 Nov 2020,Wales v Republic of Ireland,W,"
1-0
",UEFA Nations League
18 Nov 2020,Wales v Finland,W,"
3-1
",UEFA Nations League
24 Mar 2021,Belgium v Wales,L,"
3-1
",FIFA World Cup
27 Mar 2021,Wales v Mexico,W,"
1-0
",International Friendly
30 Mar 2021,Wales v Czech Republic,W,"
1-0
",FIFA World Cup
07 Sep 2018,Turkey v Russia,L,"
1-2
",UEFA Nations League
10 Sep 2018,Sweden v Turkey,W,"
2-3
",UEFA Nations League
11 Oct 2018,Turkey v Bosnia and Herzegovina,D,"
0-0
",International Friendly
14 Oct 2018,Russia v Turkey,L,"
2-0
",UEFA Nations League
17 Nov 2018,Turkey v Sweden,L,"
0-1
",UEFA Nations League
20 Nov 2018,Turkey v Ukraine,D,"
0-0
",International Friendly
22 Mar 2019,Albania v Turkey,W,"
0-2
",UEFA European Championship
25 Mar 2019,Turkey v Moldova,W,"
4-0
",UEFA European Championship
30 May 2019,Turkey v Greece,W,"
2-1
",International Friendly
02 Jun 2019,Turkey v Uzbekistan,W,"
2-0
",International Friendly
08 Jun 2019,Turkey v France,W,"
2-0
",UEFA European Championship
11 Jun 2019,Iceland v Turkey,L,"
2-1
",UEFA European Championship
07 Sep 2019,Turkey v Andorra,W,"
1-0
",UEFA European Championship
10 Sep 2019,Moldova v Turkey,W,"
0-4
",UEFA European Championship
11 Oct 2019,Turkey v Albania,W,"
1-0
",UEFA European Championship
14 Oct 2019,France v Turkey,D,"
1-1
",UEFA European Championship
14 Nov 2019,Turkey v Iceland,D,"
0-0
",UEFA European Championship
17 Nov 2019,Andorra v Turkey,W,"
0-2
",UEFA European Championship
03 Sep 2020,Turkey v Hungary,L,"
0-1
",UEFA Nations League
06 Sep 2020,Serbia v Turkey,D,"
0-0
",UEFA Nations League
07 Oct 2020,Germany v Turkey,D,"
3-3
",International Friendly
11 Oct 2020,Russia v Turkey,D,"
1-1
",UEFA Nations League
14 Oct 2020,Turkey v Serbia,D,"
2-2
",UEFA Nations League
11 Nov 2020,Turkey v Croatia,D,"
3-3
",International Friendly
15 Nov 2020,Turkey v Russia,W,"
3-2
",UEFA Nations League
18 Nov 2020,Hungary v Turkey,L,"
2-0
",UEFA Nations League
24 Mar 2021,Turkey v Netherlands,W,"
4-2
",FIFA World Cup
27 Mar 2021,Norway v Turkey,W,"
0-3
",FIFA World Cup
30 Mar 2021,Turkey v Latvia,D,"
3-3
",FIFA World Cup
27 May 2021,Turkey v Azerbaijan,W,"
2-1
",International Friendly
07 Sep 2018,Scotland v Belgium,W,"
0-4
",International Friendly
11 Sep 2018,Iceland v Belgium,W,"
0-3
",UEFA Nations League
12 Oct 2018,Belgium v Switzerland,W,"
2-1
",UEFA Nations League
16 Oct 2018,Belgium v Netherlands,D,"
1-1
",International Friendly
15 Nov 2018,Belgium v Iceland,W,"
2-0
",UEFA Nations League
18 Nov 2018,Switzerland v Belgium,L,"
5-2
",UEFA Nations League
